vprog,input_nbr,g_max,tau_in,tau_out,gain_in,gain_out,bias_in,bias_out,thr_out,inhibition_time,lr,presentation_time,accuracy
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.125,50.0,8.0,0.0001,0.2,51.4
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.125,50.0,10.0,0.0001,0.2,61.370000000000005
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.125,50.0,12.0,0.0001,0.2,62.82
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.125,70.0,8.0,0.0001,0.2,58.58
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.125,70.0,10.0,0.0001,0.2,60.24
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.125,70.0,12.0,0.0001,0.2,59.46
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.125,90.0,8.0,0.0001,0.2,60.150000000000006
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.125,90.0,10.0,0.0001,0.2,58.89
-0.6,60000.0,0.3,0.3,0.06,1.5,1.5,0.125,0.125,90.0,12.0,0.0001,0.2,54.05
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,-0.125,50.0,8.0,0.0001,0.2,54.59
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,-0.125,50.0,10.0,0.0001,0.2,54.730000000000004
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,-0.125,50.0,12.0,0.0001,0.2,51.66
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,-0.125,70.0,8.0,0.0001,0.2,58.230000000000004
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,-0.125,70.0,10.0,0.0001,0.2,55.589999999999996
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,-0.125,70.0,12.0,0.0001,0.2,49.4
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,-0.125,90.0,8.0,0.0001,0.2,54.32
